id,title,author,category,isbn,publisher_id,total_copies,available_copies
259,Computer Networks: Principles and Applications,Dr. Ashok Kumar,Computer Science,979-5-111-130-7,1,11,11
260,Advanced Sociology: Theory and Practice,Prof. Frank Lee,Sociology,978-2-609-100-9,5,11,5
261,Advanced Human Resources: Theory and Practice,Prof. Sunita Rao,Human Resources,979-5-682-843-1,10,15,1
262,Advanced Biology: Theory and Practice,Dr. Ramesh Kumar,Biology,979-6-345-135-1,1,5,2
263,Statistical Methods: Principles and Applications,Prof. Sarala,Data Science,979-9-992-466-4,3,12,3
264,Advanced Political Science: Theory and Practice,Dr. Rajesh Babu,Political Science,979-4-475-742-6,10,15,5
265,Advanced Sociology: Theory and Practice,Prof. Meera Nair,Sociology,978-2-920-250-4,7,10,5
266,VLSI Design: Principles and Applications,Prof. Ramesh Gupta,Electronics Engineering,978-4-272-291-1,3,4,3
267,Advanced Digital Signal Processing: Theory and Practice,Dr. Prakash,Digital Signal Processing,978-1-775-892-9,9,12,7
268,Advanced Communication Systems: Theory and Practice,Prof. Meera Nair,Communication Systems,979-0-300-854-6,9,14,7
269,Advanced Communication Systems: Theory and Practice,Dr. Prakash,Communication Systems,978-3-804-561-9,10,11,8
270,Advanced Communication Systems: Theory and Practice,Prof. Sunita Rao,Communication Systems,978-4-855-691-5,6,15,15
271,Advanced Construction Management: Theory and Practice,Dr. Ashok Kumar,Construction Management,978-0-446-235-4,3,11,10
272,Advanced Construction Management: Theory and Practice,Prof. Ramesh Gupta,Construction Management,979-8-818-889-3,3,10,5
273,Security Protocols: Principles and Applications,Dr. Rajesh Babu,Cybersecurity,978-0-885-750-8,9,14,12
274,Advanced Thermodynamics: Theory and Practice,Dr. Henry Davis,Thermodynamics,979-5-939-420-3,3,14,7
275,Advanced Fluid Mechanics: Theory and Practice,Prof. Grace Kim,Fluid Mechanics,978-0-638-415-9,5,14,13
276,Advanced Robotics: Theory and Practice,Dr. Henry Davis,Robotics,979-2-528-897-7,4,7,1
277,Classical Mechanics: Principles and Applications,Prof. Grace Kim,Physics,978-1-358-406-9,4,10,7
278,Advanced Communication Systems: Theory and Practice,Prof. Meera Nair,Communication Systems,979-3-123-762-6,10,3,1
279,Advanced Finance: Theory and Practice,Dr. Rajesh Babu,Finance,979-5-113-389-9,2,4,4
280,Calculus: Principles and Applications,Prof. Grace Kim,Mathematics,978-8-675-889-7,8,10,8
281,Advanced Web Development: Theory and Practice,Dr. Ramesh Kumar,Web Development,979-8-986-320-4,8,15,7
282,Advanced Robotics: Theory and Practice,Prof. Grace Kim,Robotics,978-7-986-372-5,7,15,7
283,Neural Networks: Principles and Applications,Prof. Anita Desai,Artificial Intelligence,979-7-269-813-8,8,10,5
284,Advanced Structural Analysis: Theory and Practice,Prof. Ramesh Gupta,Structural Analysis,978-8-897-794-8,9,13,9
285,Advanced Construction Management: Theory and Practice,Prof. Frank Lee,Construction Management,979-3-674-913-4,1,8,0
286,Advanced Biology: Theory and Practice,Dr. Prakash,Biology,979-9-485-383-9,2,9,9
287,Advanced Construction Management: Theory and Practice,Dr. Rajesh Babu,Construction Management,978-2-639-478-3,10,12,7
288,Advanced Philosophy: Theory and Practice,Prof. Sunita Rao,Philosophy,978-0-772-224-7,1,12,9
289,Advanced Mobile Development: Theory and Practice,Dr. Ashok Kumar,Mobile Development,978-2-531-847-2,8,6,5
290,Statistical Methods: Principles and Applications,Dr. Henry Davis,Data Science,979-6-385-501-2,10,14,4
291,Predictive Analytics: Principles and Applications,Dr. Ashok Kumar,Data Science,979-3-215-534-2,3,6,0
292,Computer Networks: Principles and Applications,Prof. Sunita Rao,Computer Science,979-3-983-480-5,10,13,9
293,Advanced Finance: Theory and Practice,Prof. Meera Nair,Finance,979-2-597-566-5,3,4,3
294,Advanced Renewable Energy: Theory and Practice,Prof. Sarala,Renewable Energy,978-5-472-910-2,5,13,4
295,Advanced Power Systems: Theory and Practice,Dr. Prakash,Power Systems,979-6-640-601-7,9,11,0
296,Advanced Political Science: Theory and Practice,Prof. Sunita Rao,Political Science,978-3-267-701-5,3,15,3
297,Advanced Political Science: Theory and Practice,Prof. Lakshmi Devi,Political Science,978-3-520-455-3,2,13,6
298,Manufacturing Processes: Principles and Applications,Dr. Henry Davis,Mechanical Engineering,978-9-668-357-7,10,10,6
299,Network Security: Principles and Applications,Dr. Venkat Reddy,Cybersecurity,978-9-884-339-2,3,9,2
300,Microprocessors: Principles and Applications,Dr. Ramesh Kumar,Electronics Engineering,978-7-715-803-3,3,6,1
